group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
first_order_0,,,,,983200.0,ns,40
first_order_0,,,,,1844000.0,ns,80
first_order_0,,,,,2835500.0,ns,120
first_order_0,,,,,3718400.0,ns,160
first_order_0,,,,,4608700.0,ns,200
first_order_0,,,,,5531400.0,ns,240
first_order_0,,,,,6486500.0,ns,280
first_order_0,,,,,7385300.0,ns,320
first_order_0,,,,,8305400.0,ns,360
first_order_0,,,,,9212100.0,ns,400
first_order_0,,,,,10151900.0,ns,440
first_order_0,,,,,11064000.0,ns,480
first_order_0,,,,,11974600.0,ns,520
first_order_0,,,,,12916800.0,ns,560
first_order_0,,,,,14020200.0,ns,600
first_order_0,,,,,15229900.0,ns,640
first_order_0,,,,,15960300.0,ns,680
first_order_0,,,,,17030900.0,ns,720
first_order_0,,,,,17869500.0,ns,760
first_order_0,,,,,18960700.0,ns,800
first_order_0,,,,,19791200.0,ns,840
first_order_0,,,,,20642400.0,ns,880
first_order_0,,,,,21837200.0,ns,920
first_order_0,,,,,22648100.0,ns,960
first_order_0,,,,,23622900.0,ns,1000
first_order_0,,,,,24423500.0,ns,1040
first_order_0,,,,,25451400.0,ns,1080
first_order_0,,,,,26219300.0,ns,1120
first_order_0,,,,,27417100.0,ns,1160
first_order_0,,,,,28315600.0,ns,1200
first_order_0,,,,,29255900.0,ns,1240
first_order_0,,,,,30206100.0,ns,1280
first_order_0,,,,,30966400.0,ns,1320
first_order_0,,,,,32150300.0,ns,1360
first_order_0,,,,,33027300.0,ns,1400
first_order_0,,,,,33995200.0,ns,1440
first_order_0,,,,,34947400.0,ns,1480
first_order_0,,,,,35812600.0,ns,1520
first_order_0,,,,,36679200.0,ns,1560
first_order_0,,,,,37682300.0,ns,1600
first_order_0,,,,,38667800.0,ns,1640
first_order_0,,,,,39551800.0,ns,1680
first_order_0,,,,,40396100.0,ns,1720
first_order_0,,,,,41455000.0,ns,1760
first_order_0,,,,,42266500.0,ns,1800
first_order_0,,,,,43664300.0,ns,1840
first_order_0,,,,,44373200.0,ns,1880
first_order_0,,,,,45419300.0,ns,1920
first_order_0,,,,,46243800.0,ns,1960
first_order_0,,,,,46995900.0,ns,2000
first_order_0,,,,,48152000.0,ns,2040
first_order_0,,,,,48959400.0,ns,2080
first_order_0,,,,,49708200.0,ns,2120
first_order_0,,,,,50858300.0,ns,2160
first_order_0,,,,,51722800.0,ns,2200
first_order_0,,,,,52639700.0,ns,2240
first_order_0,,,,,53559500.0,ns,2280
first_order_0,,,,,54529700.0,ns,2320
first_order_0,,,,,55478000.0,ns,2360
first_order_0,,,,,56749100.0,ns,2400
first_order_0,,,,,57643500.0,ns,2440
first_order_0,,,,,58380000.0,ns,2480
first_order_0,,,,,59262000.0,ns,2520
first_order_0,,,,,60288100.0,ns,2560
first_order_0,,,,,61422300.0,ns,2600
first_order_0,,,,,62204400.0,ns,2640
first_order_0,,,,,63088400.0,ns,2680
first_order_0,,,,,64058600.0,ns,2720
first_order_0,,,,,65094700.0,ns,2760
first_order_0,,,,,65777700.0,ns,2800
first_order_0,,,,,66892700.0,ns,2840
first_order_0,,,,,70614200.0,ns,2880
first_order_0,,,,,68726900.0,ns,2920
first_order_0,,,,,69548400.0,ns,2960
first_order_0,,,,,70561700.0,ns,3000
first_order_0,,,,,71385900.0,ns,3040
first_order_0,,,,,72276200.0,ns,3080
first_order_0,,,,,73281300.0,ns,3120
first_order_0,,,,,74060000.0,ns,3160
first_order_0,,,,,75511000.0,ns,3200
first_order_0,,,,,76073600.0,ns,3240
first_order_0,,,,,77137900.0,ns,3280
first_order_0,,,,,78214200.0,ns,3320
first_order_0,,,,,79184200.0,ns,3360
first_order_0,,,,,79990100.0,ns,3400
first_order_0,,,,,81480700.0,ns,3440
first_order_0,,,,,81958600.0,ns,3480
first_order_0,,,,,72202500.0,ns,3520
first_order_0,,,,,75743900.0,ns,3560
first_order_0,,,,,77449300.0,ns,3600
first_order_0,,,,,79357600.0,ns,3640
first_order_0,,,,,80564400.0,ns,3680
first_order_0,,,,,83448000.0,ns,3720
first_order_0,,,,,84221100.0,ns,3760
first_order_0,,,,,85871500.0,ns,3800
first_order_0,,,,,88977600.0,ns,3840
first_order_0,,,,,89741000.0,ns,3880
first_order_0,,,,,90599600.0,ns,3920
first_order_0,,,,,90734500.0,ns,3960
first_order_0,,,,,89775700.0,ns,4000
