group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
first_order_0,,,,,971700.0,ns,46
first_order_0,,,,,1906000.0,ns,92
first_order_0,,,,,2846300.0,ns,138
first_order_0,,,,,3798800.0,ns,184
first_order_0,,,,,4727900.0,ns,230
first_order_0,,,,,5671900.0,ns,276
first_order_0,,,,,6920000.0,ns,322
first_order_0,,,,,7549700.0,ns,368
first_order_0,,,,,8602600.0,ns,414
first_order_0,,,,,9492800.0,ns,460
first_order_0,,,,,10578700.0,ns,506
first_order_0,,,,,11386300.0,ns,552
first_order_0,,,,,12342800.0,ns,598
first_order_0,,,,,13301400.0,ns,644
first_order_0,,,,,14241100.0,ns,690
first_order_0,,,,,15211500.0,ns,736
first_order_0,,,,,16158200.0,ns,782
first_order_0,,,,,17119900.0,ns,828
first_order_0,,,,,18089200.0,ns,874
first_order_0,,,,,19020800.0,ns,920
first_order_0,,,,,19977700.0,ns,966
first_order_0,,,,,20887700.0,ns,1012
first_order_0,,,,,21860700.0,ns,1058
first_order_0,,,,,22828400.0,ns,1104
first_order_0,,,,,23775400.0,ns,1150
first_order_0,,,,,24665400.0,ns,1196
first_order_0,,,,,25618500.0,ns,1242
first_order_0,,,,,26585700.0,ns,1288
first_order_0,,,,,27576800.0,ns,1334
first_order_0,,,,,28487100.0,ns,1380
first_order_0,,,,,30586100.0,ns,1426
first_order_0,,,,,33616900.0,ns,1472
first_order_0,,,,,34493800.0,ns,1518
first_order_0,,,,,35659600.0,ns,1564
first_order_0,,,,,36754200.0,ns,1610
first_order_0,,,,,35814100.0,ns,1656
first_order_0,,,,,35181900.0,ns,1702
first_order_0,,,,,36134700.0,ns,1748
first_order_0,,,,,37079400.0,ns,1794
first_order_0,,,,,37984900.0,ns,1840
first_order_0,,,,,38961800.0,ns,1886
first_order_0,,,,,39846300.0,ns,1932
first_order_0,,,,,40803800.0,ns,1978
first_order_0,,,,,41814700.0,ns,2024
first_order_0,,,,,42785200.0,ns,2070
first_order_0,,,,,43713900.0,ns,2116
first_order_0,,,,,44776800.0,ns,2162
first_order_0,,,,,45673800.0,ns,2208
first_order_0,,,,,46556200.0,ns,2254
first_order_0,,,,,47537000.0,ns,2300
first_order_0,,,,,48464800.0,ns,2346
first_order_0,,,,,49622200.0,ns,2392
first_order_0,,,,,50609600.0,ns,2438
first_order_0,,,,,51301300.0,ns,2484
first_order_0,,,,,52266100.0,ns,2530
first_order_0,,,,,53199700.0,ns,2576
first_order_0,,,,,54435200.0,ns,2622
first_order_0,,,,,55426800.0,ns,2668
first_order_0,,,,,56271300.0,ns,2714
first_order_0,,,,,57158100.0,ns,2760
first_order_0,,,,,57964200.0,ns,2806
first_order_0,,,,,58945300.0,ns,2852
first_order_0,,,,,59809600.0,ns,2898
first_order_0,,,,,60719100.0,ns,2944
first_order_0,,,,,61725500.0,ns,2990
first_order_0,,,,,62853400.0,ns,3036
first_order_0,,,,,63797800.0,ns,3082
first_order_0,,,,,64687600.0,ns,3128
first_order_0,,,,,65450100.0,ns,3174
first_order_0,,,,,66496600.0,ns,3220
first_order_0,,,,,67342300.0,ns,3266
first_order_0,,,,,68323300.0,ns,3312
first_order_0,,,,,69373500.0,ns,3358
first_order_0,,,,,70832400.0,ns,3404
first_order_0,,,,,71112100.0,ns,3450
first_order_0,,,,,72339900.0,ns,3496
first_order_0,,,,,75003500.0,ns,3542
first_order_0,,,,,76093900.0,ns,3588
first_order_0,,,,,76936900.0,ns,3634
first_order_0,,,,,81094100.0,ns,3680
first_order_0,,,,,78983700.0,ns,3726
first_order_0,,,,,82010000.0,ns,3772
first_order_0,,,,,81042000.0,ns,3818
first_order_0,,,,,82007100.0,ns,3864
first_order_0,,,,,82927800.0,ns,3910
first_order_0,,,,,82142100.0,ns,3956
first_order_0,,,,,82424100.0,ns,4002
first_order_0,,,,,84587600.0,ns,4048
first_order_0,,,,,86830900.0,ns,4094
first_order_0,,,,,87863100.0,ns,4140
first_order_0,,,,,88703900.0,ns,4186
first_order_0,,,,,92942400.0,ns,4232
first_order_0,,,,,90581900.0,ns,4278
first_order_0,,,,,91821700.0,ns,4324
first_order_0,,,,,92760400.0,ns,4370
first_order_0,,,,,93767300.0,ns,4416
first_order_0,,,,,94744200.0,ns,4462
first_order_0,,,,,95749200.0,ns,4508
first_order_0,,,,,96586400.0,ns,4554
first_order_0,,,,,97629000.0,ns,4600
